Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
The English Patient,1996,Anthony Minghella,7.75,7.5,,8,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,7.74,7.9,,8.5,9,7.1,,,7.3,,7.2,7.2
In Bruges,2008,Martin McDonagh,7.74,7.7,8.1,7.5,,7.4,,,8,,,
The Game,1997,David Fincher,7.73,,7.2,8.8,,7.2,,,,,,
Snowpiercer,2013,Bong Joon Ho,7.73,,,8,,7.7,,,7.5,,,
The Killing of a Sacred Deer,2017,Yorgos Lanthimos,7.72,6.8,8,7.5,,8.1,,,8.2,,,
The Departed,2006,Martin Scorsese,7.7,6.9,,7.2,8.1,8.6,,,,,,
Leviathan,2014,Andrey Zvyagintsev,7.7,,7.7,,,,,,,,,
2001: A Space Odyssey,1968,Stanley Kubrick,7.7,8.4,,,7.5,8.6,,,,,7,7
The Godfather: Part III,1990,Francis Ford Coppola,7.7,7.5,,,7.5,8.1,,,,,,
Hugo,2011,Martin Scorsese,7.7,7.5,,7.5,,8.1,,,,,,
Reservoir Dogs,1992,Quentin Tarantino,7.7,,,7.5,,7.9,,,,,,
The Great Escape,1963,John Sturges,7.7,7.5,,,,7.9,,,,,,
True Grit,2010,"Ethan Coen, Joel Coen",7.7,,,,,7.7,,,,,,
The Seventh Seal,1957,Ingmar Bergman,7.7,,,,,7.7,,,,,,
Doubt,2008,John Patrick Shanley,7.7,,,,,7.7,,,,,,
Dances with Wolves,1990,Kevin Costner,7.7,,,,,7.7,,,,,,
Casino,1995,Martin Scorsese,7.7,,,,,7.7,,,,,,
Night on Earth,1991,Jim Jarmusch,7.7,,,7.7,,,,,,,,
Certified Copy,2010,Abbas Kiarostami,7.7,,,7.7,,,,,,,,
The Night Porter,1974,Liliana Cavani,7.7,7.7,,,,,,,,,,
The Belko Experiment,2016,Greg McLean,7.7,7.7,,,,,,,,,,
Carnage,2011,Roman Polanski,7.7,7.7,,,,,,,,,,
In the Name of the Father,1993,Jim Sheridan,7.7,,,7.2,,8.2,,,,,,
The Silence of the Lambs,1991,Jonathan Demme,7.7,7.8,,7.1,,8.2,,,,,,
Biutiful,2010,Alejandro G. Iñárritu,7.7,7.3,,8.1,,,,,,,,
ET the Extra-Terrestrial,1982,Steven Spielberg,7.7,8.1,,7.3,,,,,,,,
The Dark Knight ,2008,Christopher Nolan,7.69,5.5,7,7.8,9,8.7,,7.5,7.7,8.3,,
The Terminal,2004,Steven Spielberg,7.68,7.9,,7.9,,7.7,,7.7,,,7.5,7.4
Parasite,2019,Bong Joon Ho,7.67,7.2,7,,5,8.9,9.6,8.1,7.6,7.2,8,8.1
Incendies ,2010,Denis Villeneuve,7.67,,7,,,8.7,,,7.3,,,
Rosemary's Baby ,1968,Roman Polanski,7.67,7.8,,7.9,,7.3,,,,,,
Midsommar,2019,Ari Aster,7.66,8.3,8,6.5,,7.8,,,7.7,,,
The Girl with the Dragon Tattoo,2011,David Fincher,7.65,7.1,7.6,8,,7.9,,,,,,
Three Colors: Blue,1993,Krzysztof Kieslowski,7.65,6.9,7.3,8.8,,7.6,,,,,,
Wild Tales,2014,Damián Szifron,7.65,,,,,7.7,,,7.6,,,
Blade Runner,1982,Ridley Scott,7.65,7.3,,,,8,,,,,,
Big Hero 6,2014,"Don Hall, Chris Williams",7.65,6.8,,8.5,,,,,,,,
Punch-Drunk Love,2002,Paul Thomas Anderson,7.65,7.3,,,8,,,,,,,
Cloud Atlas,2012,Wachawskis,7.65,7.3,,8,,,,,,,,
Arabian Nights,1974,Pier Paolo Pasolini,7.65,8.2,,,,7.1,,,,,,
Coherence,2013,James Ward Byrkit,7.64,7.8,8,7.1,,7.6,,,7.7,,,
Oldboy,2003,Chan-wook Park,7.63,6.8,8.4,6.9,,8.9,,,7,7.8,,
Jojo Rabbit,2019,Taika Waititi,7.63,7.5,,7.5,,,,,7.9,,,
One Flew Over the Cuckoo's Nest,1975,Milos Forman,7.63,7.4,8,7,,8.1,,,,,,
Life Is Beautiful,1997,Roberto Benigni,7.63,6.9,8,7.5,,8.1,,,,,,
